dataset,method,auc_loss_threshold,auc_logreg_features
AIDS,fedala,0.48293038091715984,0.49778119132957843
AIDS,fedala_r,0.4857695389546351,0.47328895715992486
AIDS,fedavg,0.4851993959566075,0.5080218467315242
BZR,fedala,0.5188,0.5525925925925925
BZR,fedala_r,0.5434666666666667,0.44148148148148153
BZR,fedavg,0.5788,0.4651851851851852
COX2,fedala,0.5429812528577961,0.5808823529411765
COX2,fedala_r,0.4646776406035665,0.5159313725490197
COX2,fedavg,0.5116598079561042,0.5588235294117647
